scopus_source_id,subject_area,index,publisher,percentile,frequency,open_access,review_time,PSI
28352,Computer Science (miscellaneous),-0.10148392043660637,0.20185151774841023,0.20680167786748468,0.2570023905101258,0.07160254386360562,0.05140047810202512,0.6871746876550451
21100405702,Computer Science (miscellaneous),-0.10148392043660637,0.23747237382165912,0.14476117450723927,0.2570023905101258,0.07160254386360562,0.05140047810202512,0.6607550403680486
21100368801,Computer Science (miscellaneous),-0.10148392043660637,0.16623066167516137,0.20680167786748468,0.20560191240810066,0.07160254386360562,0.10280095620405023,0.6515538315817963
21100338508,Computer Science (miscellaneous),-0.10148392043660637,0.16623066167516137,0.20680167786748468,0.051400478102025166,0.07160254386360562,0.2570023905101256,0.6515538315817961
145095,Computer Science (miscellaneous),-0.10148392043660637,0.23747237382165912,0.10340083893374234,0.2570023905101258,0.07160254386360562,0.05140047810202512,0.6193947047945516
4900152803,Computer Science (miscellaneous),-0.10148392043660637,0.23747237382165912,0.10340083893374234,0.10280095620405033,0.07160254386360562,0.20560191240810047,0.6193947047945515
21100201542,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.20680167786748468,0.2570023905101258,0.14320508772721124,0.05140047810202512,0.5806729511524064
21100827946,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.20680167786748468,0.20560191240810066,0.14320508772721124,0.10280095620405023,0.5806729511524064
15591,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.20680167786748468,0.051400478102025166,0.14320508772721124,0.2570023905101256,0.5806729511524062
21100855505,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.20680167786748468,0.051400478102025166,0.14320508772721124,0.2570023905101256,0.5806729511524062
21100824892,Computer Science (miscellaneous),-0.10148392043660637,0.13060980560191252,0.14476117450723927,0.2570023905101258,0.07160254386360562,0.05140047810202512,0.553892472148302
4800153205,Computer Science (miscellaneous),-0.10148392043660637,0.05936809345541478,0.20680167786748468,0.15420143430607547,0.07160254386360562,0.15420143430607533,0.5446912633620495
21100283367,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.2570023905101258,0.14320508772721124,0.05140047810202512,0.518632447792161
21100262198,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.15420143430607547,0.14320508772721124,0.15420143430607533,0.5186324477921609
4500151509,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.051400478102025166,0.14320508772721124,0.2570023905101256,0.5186324477921609
21100838145,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.10280095620405033,0.14320508772721124,0.20560191240810047,0.5186324477921609
21100394266,Computer Science (miscellaneous),-0.10148392043660637,0.09498894952866366,0.14476117450723927,0.15420143430607547,0.07160254386360562,0.15420143430607533,0.518271616075053
4700152646,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.20680167786748468,0.20560191240810066,0.07160254386360562,0.10280095620405023,0.5090704072888008
21100262490,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.20680167786748468,0.15420143430607547,0.07160254386360562,0.15420143430607533,0.5090704072888007
5100155071,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.20680167786748468,0.051400478102025166,0.07160254386360562,0.2570023905101256,0.5090704072888006
21100853526,Computer Science (miscellaneous),-0.10148392043660637,0.05936809345541478,0.14476117450723927,0.10280095620405033,0.07160254386360562,0.20560191240810047,0.48265076000180407
21100831441,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.10340083893374234,0.20560191240810066,0.14320508772721124,0.10280095620405023,0.477272112218664
21100818504,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.10340083893374234,0.15420143430607547,0.14320508772721124,0.15420143430607533,0.47727211221866395
4700152809,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.10340083893374234,0.15420143430607547,0.14320508772721124,0.15420143430607533,0.47727211221866395
21100448516,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.10340083893374234,0.051400478102025166,0.14320508772721124,0.2570023905101256,0.4772721122186639
21100820054,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.2570023905101258,0.07160254386360562,0.05140047810202512,0.4470299039285554
21100826383,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.10280095620405033,0.07160254386360562,0.20560191240810047,0.44702990392855524
21100826382,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.15420143430607547,0.07160254386360562,0.15420143430607533,0.44702990392855524
4900152403,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.14476117450723927,0.051400478102025166,0.07160254386360562,0.2570023905101256,0.4470299039285552
19700174668,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.0620405033602454,0.20560191240810066,0.14320508772721124,0.10280095620405023,0.43591177664516706
21100826268,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.0620405033602454,0.15420143430607547,0.14320508772721124,0.15420143430607533,0.435911776645167
21100855995,Computer Science (miscellaneous),-0.10148392043660637,0.09498894952866366,0.0620405033602454,0.051400478102025166,0.07160254386360562,0.2570023905101256,0.43555094492805907
27930,Computer Science (miscellaneous),-0.10148392043660637,0.023747237382165914,0.10340083893374234,0.20560191240810066,0.07160254386360562,0.10280095620405023,0.40566956835505835
