scopus_source_id,print_issn,real _frequency,journal_website,e_issn,real_review_time
19900192513,22106502,Bi-monthly,http://www.journals.elsevier.com/swarm-and-evolutionary-computation/,22106510,
19900193654,13478826,Annual,https://www.jstage.jst.go.jp/browse/jsces/-char/en,13449443,
19900193674,15705838,Quarterly,https://www.iospress.nl/journal/applied-ontology/,18758533,
20400195003,17550386,Monthly,https://www.inderscience.com/jhome.php?jcode=ijaip,17550394,
20400195011,17548632,Quarterly,https://www.inderscience.com/jhome.php?jcode=ijaacs,17548640,
20500195215,1943023X,Monthly,https://www.jardcs.org/,,
20541,9270256,Monthly,http://www.journals.elsevier.com/computational-materials-science/#description,18790801,
20569,15710661,Bi-monthly,https://www.entcs.org/,,
20571,3043975,Weekly,http://www.journals.elsevier.com/theoretical-computer-science/#description,18792294,
21100197345,9153942,Bi-monthly,http://www.fujipress.jp/JRM/index.html,18838049,
21100197510,20900147,Annual,https://www.hindawi.com/journals/jece/,20900155,19 weeks
21100197714,16469895,Bi-monthly,http://www.risti.xyz,,
21100198223,17550556,Quarterly,https://www.inderscience.com/jhome.php?jcode=ijris,17550564,
21100198230,17408865,Bi-monthly,https://www.inderscience.com/jhome.php?jcode=ijista,17408873,
21100199540,3650359,Semi-annual,http://www.actapeloritana.it/,18251242,31 weeks
21100199727,13301136,Semi-monthly,http://cit.fer.hr/index.php/CIT,18463908,
21100199780,15741702,Quarterly,http://www.iospress.nl/journal/multiagent-and-grid-systems/,18759076,
21100199790,2185310X,Annual,http://www.inass.org/publications.html,21853118,
21100199814,13119702,Quarterly,http://www.degruyter.com/view/j/cait,13144081,12 weeks
21100199856,15479714,Annual,http://www.informingscience.us/icarus/journals/jiteresearch,15393585,
21100200426,20952228,Annual,https://link.springer.com/journal/11704,20952236,
21100200802,1675414X,Quarterly,http://jict.uum.edu.my/,21803862,
21100200804,2158656X,Quarterly,http://tmis.acm.org/index.cfm,21586578,
21100201512,19416296,Quarterly,http://www.igi-global.com/gateway/journal/1120,1941630X,
21100201516,19418647,Quarterly,http://www.igi-global.com/gateway/journal/1115,19418655,
21100203119,17580366,Bi-monthly,http://www.inderscience.com/ijbic,17580374,
21100208036,8676356,Quarterly,http://www.degruyter.com/view/j/fcds,23003405,29 weeks
21100208072,18951767,Quarterly,http://www.scpe.org/,,
21100211105,19429703,Semi-annual,http://www.internetworkingindonesia.org/,,30 weeks
21100217007,22518223,Quarterly,https://jipm.irandoc.ac.ir/en,22518231,
21100217640,19367406,Quarterly,http://trets.cse.sc.edu/index.html,19367414,
21100223167,14055546,Quarterly,http://www.redalyc.org/revista.oa?id=615,20079737,
21100224419,16844769,Semi-annual,http://www.iacss.org/index.php?id=30,,
21100228019,19473176,Quarterly,https://www.igi-global.com/journal/international-journal-embedded-real-time/1162,19473184,
21100228068,19424787,Bi-monthly,http://www.wiley.com/WileyCDA/Section/id-321747.html,19424795,
21100228550,8912513,Quarterly,http://www.complex-systems.com/,,
21100236814,18359795,,,,
21100241217,1935570X,Semi-annual,http://www.igi-global.com/gateway/journal/1098,19355718,
21100241779,14549069,Tri-annual,http://www.acad.ro/sectii2002/proceedings/proc_pag_nra.htm,,
21100242201,14538245,Quarterly,https://www.romjist.ro/content.html,,
21100242251,17578779,Quarterly,https://ubi-learn.com/journal,17578787,
21100242605,17427371,Quarterly,http://www.emeraldinsight.com/loi/ijpcc,1742738X,
21100268428,23375787,Tri-annual,http://journals.itb.ac.id/index.php/jictra/index,23385499,24 weeks
21100301444,2156177X,Quarterly,https://www.igi-global.com/journal/international-journal-fuzzy-system-applications/41876,21561761,
21100301602,16879600,Annual,https://www.hindawi.com/journals/jr/,16879619,22 weeks
21100304858,10983058,Quarterly,https://link.springer.com/journal/40558,19434294,
21100358314,21921962,Annual,https://hcis-journal.springeropen.com/,,
21100373959,20888708,Bi-monthly,http://ijece.iaescore.com/index.php/IJECE,27222578,
21100374601,21693536,Annual,http://ieeexplore.ieee.org/servlet/opac?punumber=6287639,,6 weeks
21100389724,13191578,Quarterly,http://www.journals.elsevier.com/journal-of-king-saud-university-computer-and-information-sciences/,22131248,45 weeks
21100463068,20885334,Bi-monthly,http://ijaseit.insightsociety.org/,24606952,
21100466404,23311916,Annual,http://cogentoa.tandfonline.com/journal/oaen20,,13 weeks
21100466428,18123368,Bi-monthly,http://vestniken.ru/eng/,,
21100778750,23739231,Annual,https://asistdl.onlinelibrary.wiley.com/journal/23739231,,
21100780794,20958099,Bi-monthly,http://www.journals.elsevier.com/engineering,20960026,12 weeks
21100784666,23754699,Quarterly,http://tallip.acm.org/,23754702,
21100784750,7376278,Monthly,https://ascelibrary.org/journal/jbenf2,,
21100786316,18959091,Quarterly,http://www.degruyter.com/view/j/bams,1896530X,
21100792082,19949197,Quarterly,http://vm.udsu.ru/,20765959,
21100814051,23986247,Quarterly,http://www.emeraldinsight.com/loi/idd,,
21100819609,17323916,Monthly,https://www.ejournals.eu/Schedae-Informaticae/,20838476,
21100827423,1511788X,Semi-annual,http://journals.iium.edu.my/ejournal/index.php/iiumej,22897860,40 weeks
21100829147,20054238,Monthly,http://sersc.org/journals/index.php/ijast,22076360,
21100830173,23765992,Monthly,https://peerj.com/computer-science/,,
21100831436,22502106,Bi-monthly,https://www.springer.com/journal/40031,22502114,
21100832567,24712566,Quarterly,http://tops.acm.org/,24712574,
21100834310,18119905,Quarterly,http://vestnik.spbu.ru/ENG/s10.html,25422251,
21100837465,19951302,Semi-annual,https://portal.issn.org/,24150584,
21100840337,20788665,Quarterly,http://bsj.uobaghdad.edu.iq/index.php/BSJ,24117986,24 weeks
21100840458,23034521,Semi-annual,http://oaji.net/journal-detail.html?number=3337,,7 weeks
21100857172,20793197,Quarterly,https://www.mdpi.com/journal/computation,,
21100869224,24557749,Bi-monthly,https://www.ijmems.in/,,
21100871307,22991093,Annual,https://benthamopen.com/COMPSCI/home/,,
21100889858,25281410,Tri-annual,https://ejournal.upi.edu/index.php/ijost/,25278045,
21463,1476072X,Annual,http://www.ij-healthgeographics.com/,,12 weeks
22382,16714512,Annual,https://scholars.cityu.edu.hk/en/journals/huazhong-keji-daxue-xuebao-ziran-kexue-banjournal-of-huazhong-university-of-science-and-technology-natural-science-edition(204e9919-c26e-4103-adfa-3f1e42a79a70)/publications.html,,
22489,3772217,Semi-annual,http://www.journals.elsevier.com/european-journal-of-operational-research/#description,18726860,
22933,13000632,Bi-monthly,http://journals.tubitak.gov.tr/elektrik/index.php,13036203,
23038,3600300,Quarterly,http://surveys.acm.org/,15577341,
23051,15293785,Quarterly,http://tocl.acm.org/,1557945X,
23087,1784617,Monthly,http://www.springerlink.com/content/100117/,14320541,
23792,104620,Bi-monthly,http://comjnl.oxfordjournals.org/,14602067,
24304,9259724,Bi-monthly,http://www.springerlink.com/content/100250/,15737551,
24355,3050548,Monthly,http://www.journals.elsevier.com/computers-and-operations-research/,1873765X,
24783,12256463,Bi-monthly,https://onlinelibrary.wiley.com/journal/22337326,22337326,8 weeks
25021,10586180,Quarterly,http://www.computer.org/portal/web/computingnow/annals,19341547,
25563,1676911,Monthly,http://www.journals.elsevier.com/systems-and-control-letters/#description,18727956,
25823,10762787,Annual,https://www.hindawi.com/journals/complexity/,10990526,23 weeks
26168,87554615,Quarterly,http://cconlinejournal.org/,,
28049,9272852,Bi-monthly,http://www.springerlink.com/content/100235/,15729095,
28347,15261719,Annual,http://jgaa.info/,,
28540,975397,Bi-monthly,http://www.siam.org/journals/sicomp.php,10957111,
28887,13613723,Monthly,https://www.sciencedirect.com/journal/computer-fraud-and-security,18737056,
28898,1674048,Bi-monthly,http://www.journals.elsevier.com/computers-and-security/,18726208,
32853,3876101,Bi-monthly,http://www.ipsj.or.jp/jip.html,18826652,
4000151614,16873955,Annual,https://jes-eurasipjournals.springeropen.com/,16873963,
5300152203,16977912,Quarterly,https://polipapers.upv.es/index.php/RIAI,16977920,50 weeks
5800173377,15564681,Quarterly,https://tkdd.acm.org/, 1556472X,
6400153142,16875680,Annual,https://www.hindawi.com/journals/am/,16875699,17 weeks
7000153240,16875265,Annual,https://www.hindawi.com/journals/cin/,16875273,20 weeks
7600153103,1279084,Quarterly,https://ejournal.um.edu.my/index.php/MJCS,,
78470,13658050,Quarterly,http://www.dmtcs.org/dmtcs-ojs/index.php/dmtcs,,
8000153138,15740137,Quarterly,http://www.elsevier.com/locate/issn/15740137,18767745,
13024,0324721X,Semi-annual,http://www.inf.u-szeged.hu/actacybernetica/edb/index.xml,,
144674,20956045,,https://ores.su/en/journals/journal-of-geomatics/,,
145095,9258531,Quarterly,http://www.springer.com/philosophy/logic+and+philosophy+of+language/journal/10849,15729583,
15591,14607425,Quarterly,http://jasss.soc.surrey.ac.uk/JASSS.html,,21 weeks
17700155307,1000582X,,,,
19700174668,15548716,Annual,http://www.arctt.info/,2352927X,35 weeks
19700187808,20080387,Annual,http://jmehm.tums.ac.ir/index.php/jmehm,,23 weeks
21100201542,20738994,Monthly,http://www.mdpi.com/journal/symmetry/,,11 weeks
21100223336,19473478,Quarterly,http://www.igi-global.com/gateway/journal/1152,19473486,
21100262198,19725787,Annual,http://jfr.unibo.it/,25 weeks,
21100262490,20935374,,http://www.jowua.org/,20935382,
21100283367,21532648,Semi-annual,http://www.ijphm.org/,,10 weeks
21100318403,2859831,,,13480316,
21100338508,21686750,Quarterly,http://ieeexplore.ieee.org/servlet/opac?punumber=6245516,,
21100368801,23299290,Monthly,https://signalprocessingsociety.org/publications-resources/ieeeacm-transactions-audio-speech-and-language-processing/ieeeacm,23299304,
21100394266,17419174,,,17419182,
21100400012,,,,,
21100405702,,,,22638733,
21100448516,21653151,Annual,http://www.informingscience.org/Journals/JITEIIP/Overview,2165316X,
21100775395,21661316,,,21661324,
21100818504,,,,22287477,
21100820054,17276209,,,23125381,
21100824892,17579961,,,1757997X,
21100826268,15082806,Quarterly,https://journals.agh.edu.pl/csci,23007036,20 weeks
21100826382,20893191,,,23029285,
21100826383,,,,20893272,
21100827946,,,,20566387,
21100831441,22178309,Quarterly,http://www.temjournal.com/,22178333,6 weeks
21100838145,,,,20751702,
21100842538,,,,1664848X,
21100853526,21678375,Quarterly,http://teac.acm.org/,21678383,
21100854726,18140424,Semi-annual,http://ijmcs.futureintech.net/,18140432,
21100855505,,,,20572093,
21100855995,20439989,,,20439997,
27930,16718860,,,,
28352,14635003,Monthly,http://www.journals.elsevier.com/ocean-modelling/#description,14635011,
4500151509,1641876X,Quarterly,https://www.amcs.uz.zgora.pl/,20838492,53 weeks
4700152467,10002618,,,,
4700152641,1290541,Bi-monthly,http://www.worldscinet.com/ijfcs/ijfcs.shtml,17936373,
4700152646,2196220,Bi-monthly,http://www.worldscinet.com/ijitdm/ijitdm.shtml,17936845,
4700152809,16831470,,,,
4800153205,15564665,Quarterly,http://taas.acm.org/,15564703,
4900152403,2198762,Bi-monthly,http://www.worldscinet.com/ijcm/ijcm.shtml,17936969,
4900152803,10096124,Bi-monthly,http://www.springerlink.com/content/120065/,15597067,
5100155071,15540669,Bi-monthly,http://www.nowpublishers.com/journals/INR/,15540677,
110111,15411672,Bi-monthly,http://www.computer.org/portal/web/computingnow/intelligentsystems,19411294,
11300153726,1088467X,Bi-monthly,https://www.iospress.nl/journal/intelligent-data-analysis/,15714128,
11700154336,15493636,,,15526607,
11700154734,19353812,Quarterly,http://www.springerlink.com/content/1935-3812,19353820,
12358,15622479,Bi-monthly,http://link.springer.com/journal/40815,21993211,
12409,9236082,Quarterly,http://www.springerlink.com/content/100319/,15730824,
12795,3010066,Monthly,https://uk.sagepub.com/en-gb/eur/perception/journal202440,14684233,
12872,100285,Bi-monthly,http://www.journals.elsevier.com/cognitive-psychology/#description,10955623,
12874,3640213,Bi-monthly,https://onlinelibrary.wiley.com/journal/15516709,15516709,
12886,13890417,Bi-monthly,http://www.journals.elsevier.com/cognitive-systems-research/#description,,
12931,1969722,Bi-monthly,http://www.tandfonline.com/loi/ucbs20,10876553,
12962,3341860,Quarterly,https://www.degruyter.com/view/journals/jisys/jisys-overview.xml,2191026X,51 weeks
12981,0368492X,Monthly,http://www.emeraldinsight.com/loi/k,17587883,
130113,16124782,Quarterly,http://www.springerlink.com/content/110966/,16124790,
13017,15710645,Quarterly,http://www.sciencedirect.com/science/journal/15710645,18731457,
13427,2397528,Bi-monthly,https://journals.pan.pl/bpasts,23001917,40 weeks
13880,9248463,Quarterly,http://link.springer.com/journal/10506,15728382,
144653,14335298,Quarterly,http://www.springer.com/computer/ai/journal/10015,16147456,
144749,17298806,,,17298814,
144945,1566113X,Quarterly,http://www.springerlink.com/content/106607/,15729427,
14500154734,18645909,Quarterly,http://link.springer.com/journal/12065,18645917,
145264,13460714,,,,
145544,1675133,Quarterly,http://jos.oxfordjournals.org/,14774593,
15109,9168532,,,,
15134,200255,Fortnightly,http://www.journals.elsevier.com/information-sciences/#description,18726291,
15435,13558250,Monthly,https://www.ingentaconnect.com/content/imp/jcs,,
15552,1419331,Bi-monthly,http://www.journals.elsevier.com/microprocessors-and-microsystems/#description,18729436,
15703,2191377,Monthly,http://www.springerlink.com/content/105441/,2193116,
18016,9295593,Bi-monthly,http://www.springerlink.com/content/100243/,15737527,
18050,2783649,Monthly,http://ijr.sagepub.com/,17413176,
18056,10020446,,,,
18197,10692509,Quarterly,https://www.iospress.nl/journal/integrated-computer-aided-engineering/,18758835,
19270,2181940,Monthly,http://www.worldscinet.com/ijseke/ijseke.shtml,17936403,
19294,10946136,Bi-monthly,http://www.springerlink.com/content/111647/,10991425,
19300156903,19358237,Quarterly,http://www.nowpublishers.com/MAL,19358245,
19600166036,9740635,,,,
19700166503,13430130,Bi-monthly,http://www.fujipress.jp/JACIII/index.html,18838014,
19700175219,17350654,Tri-annual,http://ijfs.usb.ac.ir/,,
19700177025,1943068X,Quarterly,https://ieeexplore.ieee.org/servlet/opac?punumber=7782673,19430698,
19700177336,18688071,Bi-monthly,http://link.springer.com/journal/13042,1868808X,
19700186872,15573958,Quarterly,http://www.igi-global.com/gateway/journal/1095,15573966,
19700190323,21576904,Bi-monthly,https://tist.acm.org/,21576912,
19900191732,19462166,Tri-annual,http://www.iospress.nl/journal/argument-computation/,19462174,
19900191735,17568757,Quarterly,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-8765,17568765,
19900191975,17528909,,,17528917,
19900193685,13272314,Quarterly,http://www.iospress.nl/journal/international-journal-of-knowledge-based-and-intelligent-engineering-systems/,18758827,
20969,15324435,Annual,http://www.mtome.com/Publications/JMLR/jmlr.html,15337928,
21100199837,16625218,Annual,http://www.frontiersin.org/neurorobotics,,14 weeks
21100204931,11209550,,,,
21100210905,20416695,Annual,https://journals.sagepub.com/home/ipe,,12 weeks
21100211724,18724981,Quarterly,http://www.iospress.nl/journal/intelligent-decision-technologies/,18758843,
21100218522,2212683X,,,,
21100235616,2162237X,Monthly,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=5962385,21622388,
21100285028,21682291,Bi-monthly,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=6221037,21682305,
21100286449,,,,,
21100301601,21606455,Quarterly,http://tiis.acm.org/,21606463,
21100325719,20451059,,,20451067,
21100327713,,,,22239766,
21100367773,23299274,Bi-monthly,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6570654,23299274,
21100411629,24056456,Quarterly,http://content.iospress.com/journals/web-intelligence/14/3,24056464,
21100440516,,,,21507988,
21100454976,18978649,,,20802145,
21100464776,2311004X,,,23105070,
21100466219,18612032,Quarterly,http://link.springer.com/journal/13740,18612040,
21100779064,21695172,Bi-monthly,http://www.liebertpub.com/soro,21695180,
21100781972,21926352,Quarterly,https://www.springer.com/journal/13748,21926360,
21100784665,23798920,Quarterly,https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER221-ELE&searchResults=Y,23798939,
21100788860,,,,22780149,
21100790723,22113568,Quarterly,https://www.iospress.nl/journal/computability/,22113576,
21100792090,20832567,Quarterly,https://www.degruyter.com/view/j/jaiscr,24496499,24 weeks
21100792109,,,,23519789,
21100792504,15982327,Quarterly,http://j-cs.org/index/index.php,19766939,
21100803572,,,,21642583,
21100810658,,,,20814836,
21100818502,23221437,,,23452773,
21100818722,22237038,,,22264116,
21100821307,16879724,Annual,https://www.hindawi.com/journals/acisc/,16879732,21 weeks
21100823281,21667160,Quarterly,http://www.igi-global.com/gateway/journal/64245,21667179,
21100824892,17579961,,,1757997X,
21100826268,15082806,Quarterly,https://journals.agh.edu.pl/csci,23007036,20 weeks
21100826286,16168658,Quarterly,http://www.tandfonline.com/TFIE,16168666,40 weeks
21100826383,,,,20893272,
21100828027,9743154,,,,
21100832761,15982645,Quarterly,http://www.ijfis.org/,2093744X,
21100833833,,,,22186581,
21100836194,,,,24059595,
21100840026,,,,20103700,
21100853738,,,,21974225,
21100853929,20777973,,,20778767,
21100863713,19478208,Quarterly,http://www.igi-global.com/gateway/journal/1169,19478216,
21100864387,19479263,Quarterly,http://www.igi-global.com/gateway/journal/1149,19479271,
21100868821,,,,22969144,
21100869486,20960433,,,20960662,
21100873335,23307706,,,23307714,
21100886132,,,,24709476,
21100890645,24426571,,,25483161,
21100893766,,,,2297198X,
21100900379,,,,23773766,
22478,0749596X,Bi-monthly,http://www.journals.elsevier.com/journal-of-memory-and-language/#description,10960821,
23127,45411,Bi-monthly,http://jacm.acm.org/,1557735X,
23616,9515666,Quarterly,http://link.springer.com/journal/volumesAndIssues/146,14355655,
23617,9217126,Bi-monthly,https://www.iospress.nl/journal/ai-communications/,18758452,
23629,7384602,Quarterly,http://www.aimagazine.org/,,
23640,14740346,Quarterly,http://www.journals.elsevier.com/advanced-engineering-informatics/#description,18735320,
23670,10122443,Bi-monthly,http://www.springerlink.com/content/101739/,15737470,
23673,8839514,Monthly,http://www.tandfonline.com/loi/uaai20,10876545,
23674,0924669X,Monthly,http://www.springerlink.com/content/100236/,15737497,
23675,43702,Monthly,http://www.journals.elsevier.com/artificial-intelligence/#description,18727921,
23678,8900604,Quarterly,http://journals.cambridge.org/action/displayJournal?jid=AIE,14691760,
23737,8247935,Quarterly,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8640,14678640,
23917,10641246,Monthly,https://www.iospress.nl/journal/journal-of-intelligent-fuzzy-systems/,18758967,
24140,9333657,Monthly,http://www.elsevier.com/wps/find/journaldescription.cws_home/505627/description#description,18732860,
24141,2692821,Bi-monthly,http://www.springerlink.com/content/100240/,15737462,
24142,10645462,Quarterly,http://www.mitpressjournals.org/loi/artl,15309185,
24157,13872532,Annual,http://www.springerlink.com/content/102852/,15737454,
24173,9540091,Quarterly,http://www.tandfonline.com/loi/ccos20,13600494,
24175,13837133,Quarterly,http://www.springerlink.com/content/1383-7133,15729354,
24182,9521976,Monthly,http://www.elsevier.com/wps/find/journaldescription.cws_home/975/description#description,18736769,
24185,2664720,Bi-monthly,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0394,14680394,
24201,9574174,Semi-monthly,http://www.elsevier.com/wps/find/journaldescription.cws_home/939/description#description,18736793,
24207,15684539,Quarterly,http://www.springerlink.com/content/108654/,15732908,
24242,10636706,Monthly,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=91,19410034,
24254,1628828,Monthly,http://www.computer.org/portal/web/tpami,19393539,
24258,11373601,,,19883064,
24286,0888613X,Bi-monthly,http://www.journals.elsevier.com/international-journal-of-approximate-reasoning/#description,18734731,
24305,8848173,Monthly,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-111X,1098111X,
24306,10512004,Monthly,http://www.journals.elsevier.com/digital-signal-processing/#description,10954333,
24310,2180014,Monthly,http://www.worldscinet.com/ijprai/ijprai.shtml,17936381,
