scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,type,open_access,scopus_asjc_code,subject_area,quartile,top_10%,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn
18902,IEEE Journal on Selected Areas in Communications,10.91,98,8074,740,92,3.311,2.294,5,272,Institute of Electrical and Electronics Engineers Inc.,Journal,NO,1705,Computer Networks and Communications,Quartile1,Top 10%,https://www.scopus.com/sourceid/18902,Scopus,IEEE,100,Monthly,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=49,,No,0733-8716,1558-0008
15773,ACM Transactions on Internet Technology,3.33,80,320,96,76,1.771,0.538,53,272,Association for Computing Machinery (ACM),Journal,NO,1705,Computer Networks and Communications,Quartile1,,https://www.scopus.com/sourceid/15773,Scopus,ACM,100,Quarterly,http://toit.acm.org/,,No,1533-5399,1557-6051
12373,Journal of Computer Information Systems,2.46,72,273,111,76,1.023,0.685,75,272,Taylor and Francis Ltd.,Journal,NO,1705,Computer Networks and Communications,Quartile2,,https://www.scopus.com/sourceid/12373,Scopus,Taylor and Francis,200,Quarterly,http://www.tandfonline.com/loi/ucis20,,No,0887-4417,2380-2057
21100358105,IEEE Transactions on Control of Network Systems,5.8,91,911,157,82,2.241,2.098,23,272,IEEE CONTROL SYSTEMS SOCIETY,Journal,NO,1705,Computer Networks and Communications,Quartile1,Top 10%,https://www.scopus.com/sourceid/21100358105,SCIEISI,IEEE,100,Quarterly,http://ieeexplore.ieee.org/servlet/opac?punumber=6509490,,No,2325-5870,2372-2533
26811,Computer Networks,4.19,84,3778,901,77,1.6,0.592,42,272,Elsevier,Journal,NO,1705,Computer Networks and Communications,Quartile1,,https://www.scopus.com/sourceid/26811,Scopus,Elsevier,100,Semi-monthly,http://www.journals.elsevier.com/computer-networks/#description,,No,1389-1286,1872-7069
27287,Journal of Network and Systems Management,2.6,75,273,105,60,1.224,0.386,66,272,Springer New York,Journal,NO,1705,Computer Networks and Communications,Quartile1,,https://www.scopus.com/sourceid/27287,Scopus,Springer,100,Quarterly,http://www.springerlink.com/content/101154/,,No,1064-7570,1573-7705
