scopus_source_id,print_issn,e_issn,frequency,review_time,journal_website
19900192513,22106502,22106510,Bi-monthly,,http://www.journals.elsevier.com/swarm-and-evolutionary-computation/
19900193654,13478826,13449443,Annual,,https://www.jstage.jst.go.jp/browse/jsces/-char/en
19900193674,15705838,18758533,Quarterly,,https://www.iospress.nl/journal/applied-ontology/
20400195003,17550386,17550394,Monthly,,https://www.inderscience.com/jhome.php?jcode=ijaip
20400195011,17548632,17548640,Quarterly,,https://www.inderscience.com/jhome.php?jcode=ijaacs
20500195215,1943023X,,Monthly,,https://www.jardcs.org/
20541,9270256,18790801,Monthly,,http://www.journals.elsevier.com/computational-materials-science/#description
20569,15710661,,Bi-monthly,,https://www.entcs.org/
20571,3043975,18792294,Weekly,,http://www.journals.elsevier.com/theoretical-computer-science/#description
21100197345,9153942,18838049,Bi-monthly,,http://www.fujipress.jp/JRM/index.html
21100197510,20900147,20900155,Annual,19 weeks,https://www.hindawi.com/journals/jece/
21100197714,16469895,,Bi-monthly,,http://www.risti.xyz
21100198223,17550556,17550564,Quarterly,,https://www.inderscience.com/jhome.php?jcode=ijris
21100198230,17408865,17408873,Bi-monthly,,https://www.inderscience.com/jhome.php?jcode=ijista
21100199540,3650359,18251242,Semi-annual,31 weeks,http://www.actapeloritana.it/
21100199727,13301136,18463908,Semi-monthly,,http://cit.fer.hr/index.php/CIT
21100199780,15741702,18759076,Quarterly,,http://www.iospress.nl/journal/multiagent-and-grid-systems/
21100199790,2185310X,21853118,Annual,,http://www.inass.org/publications.html
21100199814,13119702,13144081,Quarterly,12 weeks,http://www.degruyter.com/view/j/cait
21100199856,15479714,15393585,Annual,,http://www.informingscience.us/icarus/journals/jiteresearch
21100200426,20952228,20952236,Annual,,https://link.springer.com/journal/11704
21100200802,1675414X,21803862,Quarterly,,http://jict.uum.edu.my/
21100200804,2158656X,21586578,Quarterly,,http://tmis.acm.org/index.cfm
21100201512,19416296,1941630X,Quarterly,,http://www.igi-global.com/gateway/journal/1120
21100201516,19418647,19418655,Quarterly,,http://www.igi-global.com/gateway/journal/1115
21100203119,17580366,17580374,Bi-monthly,,http://www.inderscience.com/ijbic
21100208036,8676356,23003405,Quarterly,29 weeks,http://www.degruyter.com/view/j/fcds
21100208072,18951767,,Quarterly,,http://www.scpe.org/
21100211105,19429703,,Semi-annual,30 weeks,http://www.internetworkingindonesia.org/
21100217007,22518223,22518231,Quarterly,,https://jipm.irandoc.ac.ir/en
21100217640,19367406,19367414,Quarterly,,http://trets.cse.sc.edu/index.html
21100223167,14055546,20079737,Quarterly,,http://www.redalyc.org/revista.oa?id=615
21100224419,16844769,,Semi-annual,,http://www.iacss.org/index.php?id=30
21100228019,19473176,19473184,Quarterly,,https://www.igi-global.com/journal/international-journal-embedded-real-time/1162
21100228068,19424787,19424795,Bi-monthly,,http://www.wiley.com/WileyCDA/Section/id-321747.html
21100228550,8912513,,Quarterly,,http://www.complex-systems.com/
21100236814,18359795,,,,
21100241217,1935570X,19355718,Semi-annual,,http://www.igi-global.com/gateway/journal/1098
21100241779,14549069,,Tri-annual,,http://www.acad.ro/sectii2002/proceedings/proc_pag_nra.htm
21100242201,14538245,,Quarterly,,https://www.romjist.ro/content.html
21100242251,17578779,17578787,Quarterly,,https://ubi-learn.com/journal
21100242605,17427371,1742738X,Quarterly,,http://www.emeraldinsight.com/loi/ijpcc
21100268428,23375787,23385499,Tri-annual,24 weeks,http://journals.itb.ac.id/index.php/jictra/index
21100301444,2156177X,21561761,Quarterly,,https://www.igi-global.com/journal/international-journal-fuzzy-system-applications/41876
21100301602,16879600,16879619,Annual,22 weeks,https://www.hindawi.com/journals/jr/
21100304858,10983058,19434294,Quarterly,,https://link.springer.com/journal/40558
21100358314,21921962,,Annual,,https://hcis-journal.springeropen.com/
21100373959,20888708,27222578,Bi-monthly,,http://ijece.iaescore.com/index.php/IJECE
21100374601,21693536,,Annual,6 weeks,http://ieeexplore.ieee.org/servlet/opac?punumber=6287639
21100389724,13191578,22131248,Quarterly,45 weeks,http://www.journals.elsevier.com/journal-of-king-saud-university-computer-and-information-sciences/
21100463068,20885334,24606952,Bi-monthly,,http://ijaseit.insightsociety.org/
21100466404,23311916,,Annual,13 weeks,http://cogentoa.tandfonline.com/journal/oaen20
21100466428,18123368,,Bi-monthly,,http://vestniken.ru/eng/
21100778750,23739231,,Annual,,https://asistdl.onlinelibrary.wiley.com/journal/23739231
21100780794,20958099,20960026,Bi-monthly,12 weeks,http://www.journals.elsevier.com/engineering
21100784666,23754699,23754702,Quarterly,,http://tallip.acm.org/
21100784750,7376278,,Monthly,,https://ascelibrary.org/journal/jbenf2
21100786316,18959091,1896530X,Quarterly,,http://www.degruyter.com/view/j/bams
21100792082,19949197,20765959,Quarterly,,http://vm.udsu.ru/
