Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,subject_area,Percentile,RANK,Rank Out Of,Publisher,Open Access,Quartile,URL Scopus Source ID,Print ISSN,E-ISSN,Index,Publisher2,Percentile2,Open Access2
ACM Computing Surveys,7368,456,84.9,16.2,6.292000000000001,2.3569999999999998,General Computer Science,98.0,3.0,221.0,ACM,NO,1.0,https://www.scopus.com/sourceid/23038,0360-0300,1557-7341,Scopus & SCIEISI,ACM,100.0,No
Sustainable Computing: Informatics and Systems,639,187,69.0,3.4,1.188,0.473,General Computer Science,76.0,53.0,221.0,Elsevier,NO,1.0,https://www.scopus.com/sourceid/19700201455,2210-5379,,Scopus & SCIEISI,Elsevier,100.0,No
Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition),533,1172,28.2,0.5,0.25,0.146,General Computer Science,11.0,196.0,221.0,Huazhong Keji Daxue/Huazhong University of Science and Technology,NO,4.0,https://www.scopus.com/sourceid/22382,1671-4512,,Scopus,Others,400.0,No
Computational Intelligence and Neuroscience,2832,606,68.2,4.7,1.495,0.534,General Computer Science,83.0,37.0,221.0,Hindawi,YES,1.0,https://www.scopus.com/sourceid/7000153240,1687-5265,1687-5273,Scopus,Others,100.0,Yes
Annales Mathematicae et Informaticae,27,77,20.8,0.4,0.35200000000000004,0.132,General Computer Science,9.0,200.0,221.0,Eszterhazy Karoly College,YES,4.0,https://www.scopus.com/sourceid/19600157016,1787-5021,1787-6117,Scopus,Others,400.0,Yes
Cybernetics and Systems Analysis,571,417,44.8,1.4,1.035,0.298,General Computer Science,40.0,132.0,221.0,Springer Nature,NO,3.0,https://www.scopus.com/sourceid/12933,1060-0396,1573-8337,Scopus,Springer,300.0,No
Computational Materials Science,12412,2481,79.6,5.0,1.115,0.823,General Computer Science,84.0,34.0,221.0,Elsevier,NO,1.0,https://www.scopus.com/sourceid/20541,0927-0256,,Scopus,Elsevier,100.0,No
ACM Transactions on Privacy and Security,258,68,75.0,3.8,1.6219999999999999,0.613,General Computer Science,79.0,46.0,221.0,Association for Computing Machinery (ACM),NO,1.0,https://www.scopus.com/sourceid/21100832567,2471-2566,2471-2574,Scopus & SCIEISI,ACM,100.0,No
Scientific Annals of Computer Science,25,31,25.8,0.8,0.42700000000000005,0.205,General Computer Science,21.0,173.0,221.0,Universitatea din Bucuresti,YES,4.0,https://www.scopus.com/sourceid/19600157312,1843-8121,2248-2695,Scopus,Others,400.0,Yes
"Interdisciplinary Journal of Information, Knowledge, and Management",149,66,65.2,2.3,1.3980000000000001,0.22899999999999998,General Computer Science,64.0,79.0,221.0,Informing Science Institute,YES,2.0,https://www.scopus.com/sourceid/19700201511,1555-1229,1555-1237,Scopus,Others,200.0,Yes
Multiagent and Grid Systems,92,68,45.6,1.4,0.37,0.18,General Computer Science,39.0,134.0,221.0,IOS Press,NO,3.0,https://www.scopus.com/sourceid/21100199780,1574-1702,1875-9076,Scopus,Others,300.0,No
International Journal of Fuzzy System Applications,184,95,52.6,1.9,0.6990000000000001,0.23399999999999999,General Computer Science,58.0,92.0,221.0,IGI Global Publishing,NO,2.0,https://www.scopus.com/sourceid/21100301444,2156-177X,2156-1761,Scopus,IGI Global,200.0,No
Journal of Electrical and Computer Engineering,843,292,58.2,2.9,0.731,0.28300000000000003,General Computer Science,72.0,61.0,221.0,Hindawi,YES,2.0,https://www.scopus.com/sourceid/21100197510,2090-0147,2090-0155,Scopus,Others,200.0,Yes
International Game Theory Review,84,97,34.0,0.9,1.006,0.257,General Computer Science,25.0,166.0,221.0,World Scientific,NO,3.0,https://www.scopus.com/sourceid/12753,0219-1989,1793-6675,Scopus,Others,300.0,No
International Journal of Computational Intelligence Systems,1371,382,60.2,3.6,0.894,0.485,General Computer Science,77.0,51.0,221.0,Atlantis Press,YES,1.0,https://www.scopus.com/sourceid/17800156712,1875-6891,1875-6883,Scopus & SCIEISI,Others,100.0,Yes
International Journal of Autonomous and Adaptive Communications Systems,59,80,31.3,0.7,0.428,0.16399999999999998,General Computer Science,19.0,179.0,221.0,Inderscience,NO,4.0,https://www.scopus.com/sourceid/20400195011,1754-8632,1754-8640,Scopus,Inderscience,400.0,No
Global Journal of Engineering Education,322,146,59.6,2.2,1.016,0.509,General Computer Science,63.0,82.0,221.0,World Institute for Engineering and Technology Education (WIETE),NO,2.0,https://www.scopus.com/sourceid/19700201403,1328-3154,,Scopus,Others,200.0,No
Indonesian Journal of Science and Technology,254,80,67.5,3.2,1.626,0.569,General Computer Science,73.0,58.0,221.0,Universitas Pendidikan Indonesia,YES,2.0,https://www.scopus.com/sourceid/21100889858,2528-1410,2527-8045,Scopus,Others,200.0,Yes
Automatika,409,241,50.2,1.7,0.5870000000000001,0.34700000000000003,General Computer Science,50.0,110.0,221.0,Taylor & Francis,YES,2.0,https://www.scopus.com/sourceid/19700174656,0005-1144,,Scopus,Taylor and Francis,200.0,Yes
IEEE Annals of the History of Computing,92,110,46.4,0.8,0.9890000000000001,0.257,General Computer Science,23.0,169.0,221.0,IEEE,NO,4.0,https://www.scopus.com/sourceid/25021,1058-6180,,Scopus & SCIEISI,IEEE,400.0,No
International Journal of Health Geographics,858,161,82.0,5.3,1.3419999999999999,0.961,General Computer Science,86.0,31.0,221.0,Springer Nature,YES,1.0,https://www.scopus.com/sourceid/21463,1476-072X,,Scopus,Springer,100.0,Yes
Complexity,6035,1866,61.4,3.2,0.919,0.507,General Computer Science,75.0,54.0,221.0,Hindawi,YES,1.0,https://www.scopus.com/sourceid/25823,1076-2787,1099-0526,Scopus,Others,100.0,Yes
Engineering,3065,376,75.3,8.2,2.846,1.077,General Computer Science,93.0,14.0,221.0,Elsevier,YES,1.0,https://www.scopus.com/sourceid/21100780794,2095-8099,,Scopus,Elsevier,100.0,Yes
IIUM Engineering Journal,91,141,30.5,0.6,0.507,0.129,General Computer Science,16.0,184.0,221.0,International Islamic University Malaysia,YES,4.0,https://www.scopus.com/sourceid/21100827423,1511-788X,2289-7860,Scopus,Others,400.0,Yes
PeerJ Computer Science,1360,203,58.6,6.7,2.3409999999999997,1.601,General Computer Science,90.0,21.0,221.0,PeerJ Inc.,YES,1.0,https://www.scopus.com/sourceid/21100830173,,2376-5992,Scopus,Others,100.0,Yes
Mathematics and Computers in Simulation,1711,597,64.7,2.9,1.064,0.452,General Computer Science,72.0,62.0,221.0,Elsevier,NO,2.0,https://www.scopus.com/sourceid/12166,0378-4754,,Scopus & SCIEISI,Elsevier,200.0,No
International Journal of Intelligent Systems Technologies and Applications,88,99,30.3,0.9,0.42100000000000004,0.132,General Computer Science,26.0,162.0,221.0,Inderscience,NO,3.0,https://www.scopus.com/sourceid/21100198230,1740-8865,1740-8873,Scopus,Inderscience,300.0,No
Science China Information Sciences,4834,879,77.4,5.5,1.344,0.7240000000000001,General Computer Science,86.0,30.0,221.0,Zhongguo Kexue Zazhishe/Science in China Press,NO,1.0,https://www.scopus.com/sourceid/19600161832,1674-733X,1869-1919,Scopus & SCIEISI,Others,100.0,No
Construction Innovation,399,106,75.5,3.8,1.249,0.595,General Computer Science,78.0,48.0,221.0,Emerald,NO,1.0,https://www.scopus.com/sourceid/19900191719,1471-4175,1477-0857,Scopus,Others,100.0,No
Journal of Ambient Intelligence and Humanized Computing,2352,623,75.0,3.8,1.615,0.544,General Computer Science,78.0,47.0,221.0,Springer Nature,NO,1.0,https://www.scopus.com/sourceid/19400158593,1868-5137,1868-5145,Scopus & SCIEISI,Springer,100.0,No
Foundations of Computing and Decision Sciences,90,71,43.7,1.3,0.6,0.21100000000000002,General Computer Science,38.0,137.0,221.0,Walter de Gruyter,YES,3.0,https://www.scopus.com/sourceid/21100208036,0867-6356,2300-3405,Scopus,Others,300.0,Yes
Cogent Engineering,1905,754,59.3,2.5,0.9109999999999999,0.32299999999999995,General Computer Science,69.0,67.0,221.0,Cogent OA,YES,2.0,https://www.scopus.com/sourceid/21100466404,2331-1916,,Scopus,Others,200.0,Yes
Applied Categorical Structures,197,180,48.9,1.1,1.4409999999999998,0.856,General Computer Science,31.0,151.0,221.0,Springer Nature,NO,3.0,https://www.scopus.com/sourceid/28049,0927-2852,1572-9095,Scopus,Springer,300.0,No
Logical Methods in Computer Science,535,345,47.2,1.6,0.955,0.5579999999999999,General Computer Science,45.0,120.0,221.0,Technischen Universitat Braunschweig,YES,3.0,https://www.scopus.com/sourceid/19700175752,1860-5974,,Scopus & SCIEISI,Others,300.0,Yes
Baghdad Science Journal,96,301,18.3,0.3,0.722,0.12300000000000001,General Computer Science,9.0,201.0,221.0,University of Baghdad,YES,4.0,https://www.scopus.com/sourceid/21100840337,2078-8665,2411-7986,Scopus,Others,400.0,Yes
IEEE Latin America Transactions,3343,1581,59.5,2.1,0.635,0.33399999999999996,General Computer Science,61.0,85.0,221.0,IEEE,NO,2.0,https://www.scopus.com/sourceid/19700181218,1548-0992,,Scopus & SCIEISI,IEEE,200.0,No
Indian Journal of Computer Science and Engineering,1,17,5.9,0.1,,,General Computer Science,3.0,214.0,221.0,Engg Journals Publications,NO,4.0,https://www.scopus.com/sourceid/21100913891,0976-5166,2231-3850,Scopus,Others,400.0,No
Journal of the Brazilian Computer Society,97,54,64.8,1.8,0.81,0.179,General Computer Science,54.0,101.0,221.0,Springer Nature,YES,2.0,https://www.scopus.com/sourceid/145262,0104-6500,1678-4804,Scopus,Springer,200.0,Yes
Journal of King Saud University - Computer and Information Sciences,1430,178,82.0,8.0,3.572,0.7929999999999999,General Computer Science,93.0,15.0,221.0,King Saud University,YES,1.0,https://www.scopus.com/sourceid/21100389724,1319-1578,2213-1248,Scopus & SCIEISI,Others,100.0,Yes
International Journal of Intelligent Engineering and Systems,885,571,52.7,1.5,0.44799999999999995,0.195,General Computer Science,45.0,121.0,221.0,Intelligent Networks and Systems Society,NO,3.0,https://www.scopus.com/sourceid/21100199790,2185-310X,2185-3118,Scopus,Others,300.0,No
Cybernetics and Information Technologies,498,237,63.7,2.1,0.6990000000000001,0.31,General Computer Science,61.0,86.0,221.0,"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences",YES,2.0,https://www.scopus.com/sourceid/21100199814,1311-9702,1314-4081,Scopus,Others,200.0,Yes
Bio-Algorithms and Med-Systems,49,85,34.1,0.6,0.13699999999999998,0.132,General Computer Science,14.0,189.0,221.0,Walter de Gruyter,NO,4.0,https://www.scopus.com/sourceid/21100786316,1895-9091,1896-530X,Scopus,Others,400.0,No
ACM Transactions on Computer Systems,177,35,77.1,5.1,1.7790000000000001,0.447,General Computer Science,85.0,33.0,221.0,ACM,NO,1.0,https://www.scopus.com/sourceid/12213,0734-2071,1557-7333,Scopus & SCIEISI,ACM,100.0,No
Computer Systems Science and Engineering,161,137,38.7,1.2,0.897,0.19,General Computer Science,35.0,142.0,221.0,C R L Publishing Ltd.,NO,3.0,https://www.scopus.com/sourceid/12324,0267-6192,,Scopus & SCIEISI,Others,300.0,No
Gyroscopy and Navigation,253,150,56.0,1.7,0.821,0.254,General Computer Science,49.0,112.0,221.0,Pleiades Publishing,NO,3.0,https://www.scopus.com/sourceid/19700188366,2075-1087,2075-1109,Scopus,Others,300.0,No
IEEE Embedded Systems Letters,373,106,67.0,3.5,1.189,0.423,General Computer Science,76.0,52.0,221.0,IEEE,NO,1.0,https://www.scopus.com/sourceid/19700177026,1943-0663,,Scopus & SCIEISI,IEEE,100.0,No
Journal of Theoretical and Applied Information Technology,3033,2445,42.6,1.2,0.494,0.22899999999999998,General Computer Science,37.0,138.0,221.0,Little Lion Scientific,YES,3.0,https://www.scopus.com/sourceid/19700182903,1992-8645,1817-3195,Scopus,Others,300.0,Yes
Human-centric Computing and Information Sciences,903,146,81.5,6.2,2.225,0.6609999999999999,General Computer Science,88.0,25.0,221.0,Springer Nature,YES,1.0,https://www.scopus.com/sourceid/21100358314,,2192-1962,Scopus,Springer,100.0,Yes
Periodicals of Engineering and Natural Sciences,457,336,49.1,1.4,0.424,0.23399999999999999,General Computer Science,40.0,133.0,221.0,International University of Sarajevo,YES,3.0,https://www.scopus.com/sourceid/21100840458,,2303-4521,Scopus,Others,300.0,Yes
Computers and Industrial Engineering,12454,1893,77.4,6.6,2.0469999999999997,1.469,General Computer Science,90.0,22.0,221.0,Elsevier,NO,1.0,https://www.scopus.com/sourceid/18164,0360-8352,,Scopus & SCIEISI,Elsevier,100.0,No
Computer Fraud and Security,285,198,43.9,1.4,0.795,0.348,General Computer Science,42.0,127.0,221.0,Elsevier,NO,3.0,https://www.scopus.com/sourceid/28887,1361-3723,,Scopus,Elsevier,300.0,No
Advances in Multimedia,130,74,66.2,1.8,0.53,0.237,General Computer Science,51.0,107.0,221.0,Hindawi,YES,2.0,https://www.scopus.com/sourceid/6400153142,1687-5680,1687-5699,Scopus,Others,200.0,Yes
Journal of Information Processing,611,354,45.5,1.7,0.586,0.23199999999999998,General Computer Science,50.0,109.0,221.0,Information Processing Society of Japan,NO,2.0,https://www.scopus.com/sourceid/32853,0387-6101,,Scopus,Others,200.0,No
Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science,529,216,55.6,2.4,,,General Computer Science,68.0,70.0,221.0,Editura Academiei Romane,NO,2.0,https://www.scopus.com/sourceid/21100241779,1454-9069,,Scopus,Others,200.0,No
Journal of Universal Computer Science,669,293,56.7,2.3,0.757,0.278,General Computer Science,65.0,77.0,221.0,Technische UniversitÃ¤t Graz,YES,2.0,https://www.scopus.com/sourceid/145537,0948-695X,0948-6968,Scopus & SCIEISI,Others,200.0,Yes
Journal of Cellular Automata,133,97,51.5,1.4,0.885,0.308,General Computer Science,40.0,131.0,221.0,Old City Publishing Inc.,NO,3.0,https://www.scopus.com/sourceid/19700173238,1557-5969,1557-5977,Scopus & SCIEISI,Others,300.0,No
"ICIC Express Letters, Part B: Applications",252,860,19.7,0.3,0.11800000000000001,0.153,General Computer Science,8.0,202.0,221.0,IEEE,NO,4.0,https://www.scopus.com/sourceid/19700181115,2185-2766,,Scopus,IEEE,400.0,No
IT - Information Technology,1,18,5.6,0.1,,,General Computer Science,2.0,215.0,221.0,Walter de Gruyter,NO,4.0,https://www.scopus.com/sourceid/21100929583,1611-2776,2196-7032,Scopus,Others,400.0,No
Computers in the Schools,132,71,56.3,1.9,0.899,0.382,General Computer Science,55.0,98.0,221.0,Taylor & Francis,NO,2.0,https://www.scopus.com/sourceid/147225,0738-0569,1528-7033,Scopus,Taylor and Francis,200.0,No
International Journal of Unconventional Computing,75,68,33.8,1.1,0.36200000000000004,0.172,General Computer Science,32.0,149.0,221.0,Old City Publishing Inc.,NO,3.0,https://www.scopus.com/sourceid/19700173244,1548-7199,1548-7202,Scopus & SCIEISI,Others,300.0,No
Computacion y Sistemas,337,390,36.9,0.9,0.643,0.19399999999999998,General Computer Science,24.0,167.0,221.0,Centro de Investigacion en Computacion (CIC) del Instituto Politecnico Nacional (IPN),NO,4.0,https://www.scopus.com/sourceid/21100223167,1405-5546,,Scopus,Others,400.0,No
ACM Transactions on Computing Education,493,108,71.3,4.6,2.108,0.6759999999999999,General Computer Science,82.0,39.0,221.0,ACM,NO,1.0,https://www.scopus.com/sourceid/19700183047,,1946-6226,Scopus,ACM,100.0,No
International Journal of Advanced Science and Technology,35,1437,1.6,0.0,0.085,0.10800000000000001,General Computer Science,2.0,217.0,221.0,NADIA,NO,4.0,https://www.scopus.com/sourceid/21100829147,2005-4238,2207-6360,Scopus,Others,400.0,No
Theoretical Computer Science,3546,1554,59.4,2.3,1.104,0.57,General Computer Science,64.0,78.0,221.0,Elsevier,NO,2.0,https://www.scopus.com/sourceid/20571,0304-3975,,Scopus & SCIEISI,Elsevier,200.0,No
IEEE Transactions on Dependable and Secure Computing,3028,253,89.7,12.0,3.4330000000000003,1.531,General Computer Science,97.0,7.0,221.0,IEEE,NO,1.0,https://www.scopus.com/sourceid/28918,1545-5971,,Scopus & SCIEISI,IEEE,100.0,No
RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,333,806,16.6,0.4,0.365,0.145,General Computer Science,11.0,197.0,221.0,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),YES,4.0,https://www.scopus.com/sourceid/21100197714,1646-9895,,Scopus,Others,400.0,Yes
Journal of Computing and Information Technology,137,73,54.8,1.9,0.69,0.21100000000000002,General Computer Science,56.0,97.0,221.0,University of Zagreb,YES,2.0,https://www.scopus.com/sourceid/21100199727,1330-1136,1846-3908,Scopus,Others,200.0,Yes
Journal of Information Technology Education:Research,232,92,69.6,2.5,1.104,0.7070000000000001,General Computer Science,69.0,68.0,221.0,Informing Science Institute,YES,2.0,https://www.scopus.com/sourceid/21100199856,1547-9714,1539-3585,Scopus,Others,200.0,Yes
ACM Transactions on Reconfigurable Technology and Systems,209,89,64.0,2.3,1.156,0.26,General Computer Science,66.0,75.0,221.0,ACM,NO,2.0,https://www.scopus.com/sourceid/21100217640,1936-7406,1936-7414,Scopus & SCIEISI,ACM,200.0,No
Ecological Psychology,174,68,70.6,2.6,1.329,0.627,General Computer Science,70.0,66.0,221.0,Taylor & Francis,NO,2.0,https://www.scopus.com/sourceid/13560,1040-7413,1532-6969,Scopus,Taylor and Francis,200.0,No
Malaysian Journal of Computer Science,133,86,55.8,1.5,0.425,0.162,General Computer Science,45.0,122.0,221.0,University of Malaya,NO,3.0,https://www.scopus.com/sourceid/7600153103,0127-9084,,Scopus & SCIEISI,Others,300.0,No
International Journal of Advanced Intelligence Paradigms,163,195,29.2,0.8,0.299,0.147,General Computer Science,23.0,169.0,221.0,Inderscience,NO,4.0,https://www.scopus.com/sourceid/20400195003,1755-0386,1755-0394,Scopus,Inderscience,400.0,No
Computers and Security,4849,648,80.4,7.5,2.536,0.9840000000000001,General Computer Science,92.0,17.0,221.0,Elsevier,NO,1.0,https://www.scopus.com/sourceid/28898,0167-4048,,Scopus & SCIEISI,Elsevier,100.0,No
ACM SIGPLAN Notices,615,125,78.4,4.9,1.791,0.48100000000000004,General Computer Science,84.0,35.0,221.0,ACM,NO,1.0,https://www.scopus.com/sourceid/19700185000,1523-2867,1558-1160,Scopus,ACM,100.0,No
